id,college_name,college_slug,district,city,region
293,"Suryodaya College of Engineering & Technology, Nagpur",suryodaya-college-of-engineering--technology-nagpur,Nagpur,Nagpur,Vidarbha
294,"Fabtech Technical Campus College of Engineering and Research, Sangola",fabtech-technical-campus-college-of-engineering-and-research-sangola,Solapur,Sangola,Pune Region
295,"Dr.Rajendra Gode Institute of Technology & Research, Amravati",dr-rajendra-gode-institute-of-technology--research-amravati,Amravati,Amravati,Vidarbha
296,"T.M.E. Society's J.T.Mahajan College of Engineering, Faizpur",t-m-e-societys-j-t-mahajan-college-of-engineering-faizpur,Jalgaon,Faizpur,Nashik / North Maharashtra
297,"Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute of Engineering and Management Studies, Parbhani",marathwada-shikshan-prasarak-mandals-shri-shivaji-institute-of-engineering-and-management-studies-parbhani,Parbhani,Parbhani,Chhatrapati Sambhajinagar (Marathwada)
298,International Centre Of Excellence In Engineering and Management (ICEEM),international-centre-of-excellence-in-engineering-and-management-iceem,Maharashtra,Other,Maharashtra
299,"Al-Ameen Educational and Medical Foundation, College of Engineering, Koregaon, Bhima",al-ameen-educational-and-medical-foundation-college-of-engineering-koregaon-bhima,Pune,Koregaon Bhima,Pune Region
300,"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",abhinav-education-societys-college-of-engineering-and-technology-degree-wadwadi,Satara,Khandala,Pune Region
301,"Jamia Institute Of Engineering And Management Studies, Akkalkuwa",jamia-institute-of-engineering-and-management-studies-akkalkuwa,Nandurbar,Akkalkuwa,Nashik / North Maharashtra
302,"Shri.Someshwar Shikshan Prasarak Mandal, Sharadchandra Pawar College of Engineering & Technology, Someshwar Nagar",shri-someshwar-shikshan-prasarak-mandal-sharadchandra-pawar-college-of-engineering--technology-someshwar-nagar,Maharashtra,Other,Maharashtra
303,"R.V. Parankar College of Engineering & Technology, Arvi, Dist Wardha",r-v-parankar-college-of-engineering--technology-arvi-dist-wardha,Wardha,Arvi,Vidarbha
304,"G.M.Vedak Institute of Technology, Tala, Raigad.",g-m-vedak-institute-of-technology-tala-raigad,Raigad,Raigad,Mumbai Region
305,"Godavari Foundation's Godavari College Of Engineering, Jalgaon",godavari-foundations-godavari-college-of-engineering-jalgaon,Jalgaon,Jalgaon,Nashik / North Maharashtra
306,"Matoshri Pratishan's Group of Institutions (Integrated Campus), Kupsarwadi, Nanded",matoshri-pratishans-group-of-institutions-integrated-campus-kupsarwadi-nanded,Nanded,Nanded,Chhatrapati Sambhajinagar (Marathwada)
307,"Saraswati Education Society, Yadavrao Tasgaonkar Institute of Engineering & Technology, Karjat",saraswati-education-society-yadavrao-tasgaonkar-institute-of-engineering--technology-karjat,Raigad,Karjat,Mumbai Region
308,"Shivganga Charitable Trust, Sangli Vishveshwarya Technical Campus, Faculty of Diploma Engineering, Patgaon, Miraj",shivganga-charitable-trust-sangli-vishveshwarya-technical-campus-faculty-of-diploma-engineering-patgaon-miraj,Sangli,Sangli,Pune Region
309,"Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile",siddhivinayak-technical-campus-school-of-engineering--research-technology-shirasgon-nile,Amravati,Chandur Bazar,Vidarbha
310,"Shri. Dadasaheb Gawai Charitable Trust 's Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology, Darapur, Amravati",shri-dadasaheb-gawai-charitable-trust-s-dr-smt-kamaltai-gawai-institute-of-engineering--technology-darapur-amravati,Amravati,Amravati,Vidarbha
311,"Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola,",manav-school-of-engineering--technology-gut-no-1035-nagpur-surat-highway-nh-no-6-tal-vyala-balapur-akola,Nagpur,Nagpur,Vidarbha
312,"Everest Education Society, Group of Institutions (Integrated Campus), Ohar",everest-education-society-group-of-institutions-integrated-campus-ohar,Chhatrapati Sambhajinagar (Aurangabad),Ohar,Chhatrapati Sambhajinagar (Marathwada)
313,Rajendra Mane College of Engineering & Technology Ambav Deorukh,rajendra-mane-college-of-engineering--technology-ambav-deorukh,Maharashtra,Other,Maharashtra
314,"Dilkap Research Institute Of Engineering and Management Studies, At.Mamdapur, Post- Neral, Tal- Karjat, Mumbai",dilkap-research-institute-of-engineering-and-management-studies-at-mamdapur-post-neral-tal-karjat-mumbai,Mumbai,Mumbai,Mumbai Region
315,"Indala College Of Engineering, Bapsai Tal.Kalyan",indala-college-of-engineering-bapsai-tal-kalyan,Thane,Kalyan,Mumbai Region
316,"Metropolitan Institute of Technology & Management, Sukhalwad, Sindhudurg.",metropolitan-institute-of-technology--management-sukhalwad-sindhudurg,Sindhudurg,Sindhudurg,Mumbai Region
317,"K.D.M. Education Society, Vidharbha Institute of Technology, Umred Road, Nagpur",k-d-m-education-society-vidharbha-institute-of-technology-umred-road-nagpur,Nagpur,Nagpur,Vidarbha
318,"KSGBS's Bharat- Ratna Indira Gandhi College of Engineering, Kegaon, Solapur",ksgbss-bharat-ratna-indira-gandhi-college-of-engineering-kegaon-solapur,Solapur,Solapur,Pune Region
319,"Wainganga College of Engineering and Management, Dongargaon, Nagpur",wainganga-college-of-engineering-and-management-dongargaon-nagpur,Nagpur,Nagpur,Vidarbha
320,"Jaywant College of Engineering & Polytechnic, Kille Macchindragad Tal. Walva District- Sangali",jaywant-college-of-engineering--polytechnic-kille-macchindragad-tal-walva-district-sangali,Maharashtra,Other,Maharashtra
321,"B.R. Harne College of Engineering & Technology, Karav, Tal-Ambernath.",b-r-harne-college-of-engineering--technology-karav-tal-ambernath,Thane,Ambernath,Mumbai Region
322,"College of Engineering and Technology, North Maharashtra Knowledge City, Jalgaon",college-of-engineering-and-technology-north-maharashtra-knowledge-city-jalgaon,Jalgaon,Jalgaon,Nashik / North Maharashtra
323,"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of Engineering, Buldhana",dwarka-bahu-uddeshiya-gramin-vikas-foundation-rajarshri-shahu-college-of-engineering-buldhana,Buldhana,Buldhana,Vidarbha
324,"Shree Santkrupa Shikshan Sanstha, Shree Santkrupa Institute Of Engineering & Technology, Karad",shree-santkrupa-shikshan-sanstha-shree-santkrupa-institute-of-engineering--technology-karad,Satara,Karad,Pune Region
325,"VPM's Maharshi Parshuram College of Engineering, Velneshwar, Ratnagiri.",vpms-maharshi-parshuram-college-of-engineering-velneshwar-ratnagiri,Ratnagiri,Ratnagiri,Mumbai Region
326,"Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Osmanabad",adarsh-shikshan-prasarak-mandals-k-t-patil-college-of-engineering-and-technology-osmanabad,Osmanabad (Dharashiv),Osmanabad,Chhatrapati Sambhajinagar (Marathwada)
