id,college_name,college_slug,district,city,region
88,"R. C. Patel Institute of Technology, Shirpur",r-c-patel-institute-of-technology-shirpur,Dhule,Shirpur,Nashik / North Maharashtra
89,"Vasantdada Patil Pratishthan's College Of Engineering and Visual Arts, Sion, Mumbai",vasantdada-patil-pratishthans-college-of-engineering-and-visual-arts-sion-mumbai,Mumbai,Sion,Mumbai Region
90,"Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon",shramsadhana-bombay-trust-college-of-engineering--technology-jalgaon,Jalgaon,Jalgaon,Nashik / North Maharashtra
91,Ajeenkya DY Patil School of Engineering,ajeenkya-dy-patil-school-of-engineering,Pune,Lohegaon,Pune Region
92,"Shri Vile Parle Kelavani Mandal's Institute of Technology, Dhule",shri-vile-parle-kelavani-mandals-institute-of-technology-dhule,Mumbai,Vile Parle,Mumbai Region
93,"MET Bhujbal Knowledge City MET League's Engineering College, Adgaon, Nashik.",met-bhujbal-knowledge-city-met-leagues-engineering-college-adgaon-nashik,Nashik,Nashik,Nashik / North Maharashtra
94,"Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai",shree-l-r-tiwari-college-of-engineering-mira-road-mumbai,Mumbai,Mumbai,Mumbai Region
95,"Hope Foundation and research center's Finolex Academy of Management and Technology, Ratnagiri",hope-foundation-and-research-centers-finolex-academy-of-management-and-technology-ratnagiri,Ratnagiri,Ratnagiri,Mumbai Region
96,"Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering, Wagholi, Pune",genba-sopanrao-moze-trust-parvatibai-genba-moze-college-of-engineering-wagholi-pune,Pune,Wagholi,Pune Region
97,"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering, Kharghar, Navi Mumbai",jawahar-education-societys-annasaheb-chudaman-patil-college-of-engineering-kharghar-navi-mumbai,Mumbai,Mumbai,Mumbai Region
98,"Government College of Engineering, Jalgaon",government-college-of-engineering-jalgaon,Jalgaon,Jalgaon,Nashik / North Maharashtra
99,"A. P. Shah Institute of Technology, Thane",a-p-shah-institute-of-technology-thane,Thane,Thane,Mumbai Region
100,"NBN Sinhgad Technical Institutes Campus, Pune",nbn-sinhgad-technical-institutes-campus-pune,Pune,Pune,Pune Region
101,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",g-s-mandals-maharashtra-institute-of-technology-aurangabad,Chhatrapati Sambhajinagar (Aurangabad),Aurangabad,Chhatrapati Sambhajinagar (Marathwada)
102,"Pune District Education Association's College of Engineering, Pune",pune-district-education-associations-college-of-engineering-pune,Pune,Pune,Pune Region
103,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",sipna-shikshan-prasarak-mandal-college-of-engineering--technology-amravati,Amravati,Amravati,Vidarbha
104,"Jayawant Shikshan Prasarak Mandal, Bhivarabai Sawant Institute of Technology & Research, Wagholi",jayawant-shikshan-prasarak-mandal-bhivarabai-sawant-institute-of-technology--research-wagholi,Pune,Wagholi,Pune Region
105,"Shivnagar Vidya Prasarak Mandal's College of Engineering, Malegaon-Baramati",shivnagar-vidya-prasarak-mandals-college-of-engineering-malegaon-baramati,Pune,Baramati,Pune Region
106,"Sinhagad Institute of Technology, Lonavala",sinhagad-institute-of-technology-lonavala,Pune,Lonavala,Pune Region
107,"ST. Vincent Pallotti College of Engineering & Technology, Nagpur",st-vincent-pallotti-college-of-engineering--technology-nagpur,Nagpur,Nagpur,Vidarbha
108,"Indira College of Engineering & Management, Pune",indira-college-of-engineering--management-pune,Pune,Pune,Pune Region
109,"Dr. Ashok Gujar Technical Institute's Dr. Daulatrao Aher College of Engineering, Karad",dr-ashok-gujar-technical-institutes-dr-daulatrao-aher-college-of-engineering-karad,Satara,Karad,Pune Region
110,"TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune",tssmss-pd-vasantdada-patil-institute-of-technology-bavdhan-pune,Pune,Bavdhan,Pune Region
111,"Government College of Engineering, Chandrapur",government-college-of-engineering-chandrapur,Chandrapur,Chandrapur,Vidarbha
112,"Pravara Rural College of Engineering, Loni, Pravaranagar, Ahmednagar.",pravara-rural-college-of-engineering-loni-pravaranagar-ahmednagar,Ahmednagar,Loni,Nashik / North Maharashtra
113,"M.S. Bidve Engineering College, Latur",m-s-bidve-engineering-college-latur,Latur,Latur,Chhatrapati Sambhajinagar (Marathwada)
114,"Sinhgad Technical Education Society, Sinhgad Institute of Technology and Science, Narhe (Ambegaon)",sinhgad-technical-education-society-sinhgad-institute-of-technology-and-science-narhe-ambegaon,Pune,Narhe,Pune Region
115,"Government College of Engineering, Yavatmal",government-college-of-engineering-yavatmal,Yavatmal,Yavatmal,Vidarbha
116,"Rayat Shikshan Sanstha's Karmaveer Bhaurao Patil College of Engineering, Satara",rayat-shikshan-sansthas-karmaveer-bhaurao-patil-college-of-engineering-satara,Satara,Satara,Pune Region
117,"Sinhgad Academy of Engineering, Kondhwa (BK) Kondhwa-Saswad Road, Pune",sinhgad-academy-of-engineering-kondhwa-bk-kondhwa-saswad-road-pune,Pune,Kondhwa,Pune Region
118,"Marathwada Mitra Mandal's Institute of Technology, Lohgaon, Pune",marathwada-mitra-mandals-institute-of-technology-lohgaon-pune,Pune,Pune,Pune Region
119,"Guru Gobind Singh College of Engineering & Research Centre, Nashik.",guru-gobind-singh-college-of-engineering--research-centre-nashik,Nashik,Nashik,Nashik / North Maharashtra
120,"Smt. Indira Gandhi College of Engineering, Navi Mumbai",smt-indira-gandhi-college-of-engineering-navi-mumbai,Mumbai,Mumbai,Mumbai Region
121,"K.J.'s Educational Institute's K.J.College of Engineering & Management Research, Pisoli",k-j-s-educational-institutes-k-j-college-of-engineering--management-research-pisoli,Pune,Pisoli,Pune Region
122,"Holy-Wood Academy's Sanjeevan Engineering and Technology Institute, Panhala",holy-wood-academys-sanjeevan-engineering-and-technology-institute-panhala,Kolhapur,Panhala,Pune Region
123,"Saraswati Education Society's Saraswati College of Engineering, Kharghar Navi Mumbai",saraswati-education-societys-saraswati-college-of-engineering-kharghar-navi-mumbai,Mumbai,Mumbai,Mumbai Region
124,"Zeal Education Society's Zeal College of Engineering & Reserch, Narhe, Pune",zeal-education-societys-zeal-college-of-engineering--reserch-narhe-pune,Pune,Narhe,Pune Region
125,"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar",aldel-education-trusts-st-john-college-of-engineering--management-vevoor-palghar,Palghar,Palghar,Mumbai Region
126,"Late Shri. Vishnu Waman Thakur Charitable Trust, Viva Institute of Technology, Shirgaon",late-shri-vishnu-waman-thakur-charitable-trust-viva-institute-of-technology-shirgaon,Palghar,Virar,Mumbai Region
127,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.",mahatma-gandhi-missions-college-of-engineering-hingoli-rd-nanded,Nanded,Nanded,Chhatrapati Sambhajinagar (Marathwada)
128,"TSSM's Bhivarabai Sawant College of Engineering and Research, Narhe, Pune",tssms-bhivarabai-sawant-college-of-engineering-and-research-narhe-pune,Pune,Narhe,Pune Region
129,"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",dr-vithalrao-vikhe-patil-college-of-engineering-ahmednagar,Ahmednagar,Ahmednagar,Nashik / North Maharashtra
130,"Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik",sandip-foundation-sandip-institute-of-technology-and-research-centre-mahiravani-nashik,Nashik,Nashik,Nashik / North Maharashtra
131,ISBM College Of Engineering Pune,isbm-college-of-engineering-pune,Pune,Pune,Pune Region
132,"Lokmanya Tilak Jankalyan Shikshan Sanstha, Priyadarshani College of Engineering, Nagpur",lokmanya-tilak-jankalyan-shikshan-sanstha-priyadarshani-college-of-engineering-nagpur,Nagpur,Nagpur,Vidarbha
133,"Rasiklal M. Dhariwal Sinhgad Technical Institutes Campus, Warje, Pune.",rasiklal-m-dhariwal-sinhgad-technical-institutes-campus-warje-pune,Pune,Pune,Pune Region
134,"Dr. Babasaheb Ambedkar Technological University, Lonere",dr-babasaheb-ambedkar-technological-university-lonere,Raigad,Lonere,Mumbai Region
135,"Shree Gajanan Maharaj Shikshan Prasarak Manda'l Sharadchandra Pawar College of Engineering, Dumbarwadi",shree-gajanan-maharaj-shikshan-prasarak-mandal-sharadchandra-pawar-college-of-engineering-dumbarwadi,Pune,Dumbarwadi,Pune Region
136,"N. B. Navale Sinhgad College of Engineering, Kegaon, solapur",n-b-navale-sinhgad-college-of-engineering-kegaon-solapur,Solapur,solapur,Pune Region
137,"Shetkari Shikshan Mandal's Pad. Vasantraodada Patil Institute of Technology, Budhgaon, Sangli",shetkari-shikshan-mandals-pad-vasantraodada-patil-institute-of-technology-budhgaon-sangli,Sangli,Sangli,Pune Region
138,"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel",anjuman-i-islams-kalsekar-technical-campus-panvel,Raigad,Panvel,Mumbai Region
139,"SKN Sinhgad Institute of Technology & Science, Kusgaon (BK), Pune.",skn-sinhgad-institute-of-technology--science-kusgaon-bk-pune,Pune,Pune,Pune Region
140,"Dhole Patil Education Society, Dhole Patil College of Engineering, Wagholi, Tal. Haveli",dhole-patil-education-society-dhole-patil-college-of-engineering-wagholi-tal-haveli,Pune,Wagholi,Pune Region
141,"Shivajirao S. Jondhale College of Engineering, Dombivali, Mumbai",shivajirao-s-jondhale-college-of-engineering-dombivali-mumbai,Mumbai,Mumbai,Mumbai Region
142,"Sharad Institute of Technology College of Engineering, Yadrav (Ichalkaranji)",sharad-institute-of-technology-college-of-engineering-yadrav-ichalkaranji,Kolhapur,Ichalkaranji,Pune Region
143,"Excelsior Education Society's K.C. College of Engineering and Management Studies and Research, Kopri, Thane (E)",excelsior-education-societys-k-c-college-of-engineering-and-management-studies-and-research-kopri-thane-e,Thane,Thane,Mumbai Region
144,"Sant Gadge Baba Amravati University, Amravati",sant-gadge-baba-amravati-university-amravati,Amravati,Amravati,Vidarbha
145,"Lokmanya Tilak Jankalyan Shikshan Sastha, Priyadarshini J. L. College Of Engineering, Nagpur",lokmanya-tilak-jankalyan-shikshan-sastha-priyadarshini-j-l-college-of-engineering-nagpur,Nagpur,Nagpur,Vidarbha
146,"Department of Technology, Shivaji University, Kolhapur",department-of-technology-shivaji-university-kolhapur,Kolhapur,Kolhapur,Pune Region
147,"K. J.'s Educational Institut Trinity College of Engineering and Research, Pisoli, Haveli",k-j-s-educational-institut-trinity-college-of-engineering-and-research-pisoli-haveli,Pune,Pisoli,Pune Region
148,"Mahatma Education Society's Pillai HOC College of Engineering & Technology, Tal. Khalapur. Dist. Raigad",mahatma-education-societys-pillai-hoc-college-of-engineering--technology-tal-khalapur-dist-raigad,Raigad,Khalapur,Mumbai Region
149,"Nutan College of Engineering and Research, Talegaon Dabhade Tal. Maval, Pune",nutan-college-of-engineering-and-research-talegaon-dabhade-tal-maval-pune,Pune,Pune,Pune Region
150,"P. R. Pote (Patil) Education & Welfare Trust's Group of Institution (Integrated Campus), Amravati",p-r-pote-patil-education--welfare-trusts-group-of-institution-integrated-campus-amravati,Amravati,Amravati,Vidarbha
151,"Gokhale Education Society's, R.H. Sapat College of Engineering, Management Studies and Research, Nashik",gokhale-education-societys-r-h-sapat-college-of-engineering-management-studies-and-research-nashik,Nashik,Nashik,Nashik / North Maharashtra
152,"Pradnya Niketan Education Society's Nagesh Karajagi Orchid College of Engineering & Technology, Solapur",pradnya-niketan-education-societys-nagesh-karajagi-orchid-college-of-engineering--technology-solapur,Solapur,Solapur,Pune Region
153,"S.D.N.C.R.E.S'S.Late Narayandas Bhawandas Chhabada Institute of Engineering & Technology, Satara",s-d-n-c-r-e-ss-late-narayandas-bhawandas-chhabada-institute-of-engineering--technology-satara,Satara,Satara,Pune Region
154,"Ankush Shikshan Sanstha's G. H. Raisoni Institute of Engineering & Technology, Nagpur",ankush-shikshan-sansthas-g-h-raisoni-institute-of-engineering--technology-nagpur,Nagpur,Nagpur,Vidarbha
155,"New Horizon Institute of Technology & Management, Thane",new-horizon-institute-of-technology--management-thane,Thane,Thane,Mumbai Region
156,"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai",m-g-m-s-college-of-engineering-and-technology-kamothe-navi-mumbai,Mumbai,Mumbai,Mumbai Region
157,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",institute-of-chemical-technology-mumbai-marathwada-off-campus-jalna,Mumbai,Mumbai,Mumbai Region
158,"Cummins College of Engineering For Women, Sukhali (Gupchup), Tal. Hingna Hingna Nagpur",cummins-college-of-engineering-for-women-sukhali-gupchup-tal-hingna-hingna-nagpur,Nagpur,Hingna,Vidarbha
159,"KJEI's Trinity Academy of Engineering, Yewalewadi, Pune",kjeis-trinity-academy-of-engineering-yewalewadi-pune,Pune,Pune,Pune Region
160,"Aditya Engineering College, Beed",aditya-engineering-college-beed,Beed,Beed,Chhatrapati Sambhajinagar (Marathwada)
161,"Adsul's Technical Campus, Chas Dist. Ahmednagar",adsuls-technical-campus-chas-dist-ahmednagar,Ahmednagar,Ahmednagar,Nashik / North Maharashtra
162,"PUNE VIDYARTHI GRIHAÃ¢Â€Â™S COLLEGE OF ENGINEERING & SHRIKRUSHNA S. DHAMANKAR INSTITUTE OF MANAGEMENT, NASHIK",pune-vidyarthi-grihas-college-of-engineering--shrikrushna-s-dhamankar-institute-of-management-nashik,Pune,PUNE,Pune Region
163,"CSMSS Chh. Shahu College of Engineering, Aurangabad",csmss-chh-shahu-college-of-engineering-aurangabad,Chhatrapati Sambhajinagar (Aurangabad),Aurangabad,Chhatrapati Sambhajinagar (Marathwada)
164,"Anantrao Pawar College of Engineering & Research, Pune",anantrao-pawar-college-of-engineering--research-pune,Pune,Pune,Pune Region
165,"Konkan Gyanpeeth College of Engineering, Karjat",konkan-gyanpeeth-college-of-engineering-karjat,Raigad,Karjat,Mumbai Region
166,"Sir Shantilal Badjate Charitable Trust's S. B. Jain Institute of technology, Management & Research, Nagpur",sir-shantilal-badjate-charitable-trusts-s-b-jain-institute-of-technology-management--research-nagpur,Nagpur,Nagpur,Vidarbha
167,"M.D. Yergude Memorial Shikshan Prasarak Mandal's Shri Sai College of Engineering & Technology, Badravati",m-d-yergude-memorial-shikshan-prasarak-mandals-shri-sai-college-of-engineering--technology-badravati,Chandrapur,Bhadravati,Vidarbha
168,"University Institute of Chemical Technology, North Maharashtra University, Jalgaon",university-institute-of-chemical-technology-north-maharashtra-university-jalgaon,Jalgaon,Jalgaon,Nashik / North Maharashtra
169,"Dnyanshree Institute Engineering and Technology, Satara",dnyanshree-institute-engineering-and-technology-satara,Satara,Satara,Pune Region
170,"SNJB's Late Sau. Kantabai Bhavarlalji Jain College of Engineering, (Jain Gurukul), Neminagar, Chandwad, (Nashik)",snjbs-late-sau-kantabai-bhavarlalji-jain-college-of-engineering-jain-gurukul-neminagar-chandwad-nashik,Nashik,Chandwad,Nashik / North Maharashtra
171,"Universal College of Engineering, Kaman Dist. Palghar",universal-college-of-engineering-kaman-dist-palghar,Palghar,Kaman,Mumbai Region
172,"Alard Charitable Trust's Alard College of Engineering and Management, Pune",alard-charitable-trusts-alard-college-of-engineering-and-management-pune,Pune,Pune,Pune Region
173,"Sandip Foundation's, Sandip Institute of Engineering & Management, Nashik",sandip-foundations-sandip-institute-of-engineering--management-nashik,Nashik,Nashik,Nashik / North Maharashtra
174,"Jaidev Education Society, J D College of Engineering and Management, Nagpur",jaidev-education-society-j-d-college-of-engineering-and-management-nagpur,Nagpur,Nagpur,Vidarbha
175,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",jawaharlal-darda-institute-of-engineering-and-technology-yavatmal,Yavatmal,Yavatmal,Vidarbha
176,"Sant Gajanan Maharaj College of Engineering, Gadhinglaj",sant-gajanan-maharaj-college-of-engineering-gadhinglaj,Kolhapur,Gadhinglaj,Pune Region
177,"Vishwaniketan's Institute of Management Entrepreneurship and Engineering Technology (i MEET), Khalapur Dist Raigad",vishwaniketans-institute-of-management-entrepreneurship-and-engineering-technology-i-meet-khalapur-dist-raigad,Raigad,Khalapur,Mumbai Region
178,"Kavi Kulguru Institute of Technology & Science, Ramtek",kavi-kulguru-institute-of-technology--science-ramtek,Nagpur,Ramtek,Vidarbha
179,"WATUMULL INSTITUTE OF ELECTRONICS ENGINEERING & COMPUTER TECHNOLOGY, ULHASNAGAR",watumull-institute-of-electronics-engineering--computer-technology-ulhasnagar,Thane,ULHASNAGAR,Mumbai Region
180,"Dr.D.Y.Patil College Of Engineering & Innovation, Talegaon",dr-d-y-patil-college-of-engineering--innovation-talegaon,Maharashtra,Other,Maharashtra
181,"Koti Vidya Charitable Trust 's Smt. Alamuri Ratnamala Institute of Engineering and Technology, Sapgaon, Tal. Shahapur",koti-vidya-charitable-trust-s-smt-alamuri-ratnamala-institute-of-engineering-and-technology-sapgaon-tal-shahapur,Thane,Shahapur,Mumbai Region
182,"Bharati Vidyapeeth's College of Engineering, Kolhapur",bharati-vidyapeeths-college-of-engineering-kolhapur,Kolhapur,Kolhapur,Pune Region
183,"Shri. Ambabai Talim Sanstha's Sanjay Bhokare Group of Institutes, Miraj",shri-ambabai-talim-sansthas-sanjay-bhokare-group-of-institutes-miraj,Sangli,Miraj,Pune Region
184,"Dr. J. J. Magdum Charitable Trust's Dr. J.J. Magdum College of Engineering, Jaysingpur",dr-j-j-magdum-charitable-trusts-dr-j-j-magdum-college-of-engineering-jaysingpur,Kolhapur,Jaysingpur,Pune Region
185,"Loknete Hanumantrao Charitable Trust's Adarsh Institute of Technology and Research Centre, Vita, Sangli",loknete-hanumantrao-charitable-trusts-adarsh-institute-of-technology-and-research-centre-vita-sangli,Sangli,Vita,Pune Region
186,"Gurunanak Educational Society's Gurunanak Institute of Technology, Nagpur",gurunanak-educational-societys-gurunanak-institute-of-technology-nagpur,Nagpur,Nagpur,Vidarbha
187,"Government College of Engineering, Ratnagiri",government-college-of-engineering-ratnagiri,Ratnagiri,Ratnagiri,Mumbai Region
188,"JMSS Shri Shankarprasad Agnihotri College of Engineering, Wardha",jmss-shri-shankarprasad-agnihotri-college-of-engineering-wardha,Wardha,Wardha,Vidarbha
189,"Terna Public Charitable Trust's College of Engineering, Osmanabad",terna-public-charitable-trusts-college-of-engineering-osmanabad,Osmanabad (Dharashiv),Osmanabad,Chhatrapati Sambhajinagar (Marathwada)
190,"Dr. D Y Patil Pratishthan's College of Engineering, Kolhapur",dr-d-y-patil-pratishthans-college-of-engineering-kolhapur,Kolhapur,Kolhapur,Pune Region
191,"Vidya Niketan College of Engineering, Bota Sangamner",vidya-niketan-college-of-engineering-bota-sangamner,Ahmednagar,Sangamner,Nashik / North Maharashtra
192,"D.Y.Patil Education Society's, D.Y. Patil Technical Campus, Faculty of Engineering & Faculty of Management, Talsande, Kolhapur.",d-y-patil-education-societys-d-y-patil-technical-campus-faculty-of-engineering--faculty-of-management-talsande-kolhapur,Kolhapur,Kolhapur,Pune Region
193,"Haji Jamaluddin Thim Trust's Theem College of Engineering, At. Villege Betegaon, Boisar",haji-jamaluddin-thim-trusts-theem-college-of-engineering-at-villege-betegaon-boisar,Palghar,Boisar,Mumbai Region
194,"Anjuman College of Engineering & Technology, Nagpur",anjuman-college-of-engineering--technology-nagpur,Nagpur,Nagpur,Vidarbha
195,"Shriram Gram Vikas Shikshan Sanstha, Vilasrao Deshmukh College of Engineering and Technology, Nagpur",shriram-gram-vikas-shikshan-sanstha-vilasrao-deshmukh-college-of-engineering-and-technology-nagpur,Nagpur,Nagpur,Vidarbha
196,"Janata Shikshan Prasarak MandalÃ¢Â€Â™s Babasaheb Naik College Of Engineering, Pusad",janata-shikshan-prasarak-mandals-babasaheb-naik-college-of-engineering-pusad,Yavatmal,Pusad,Vidarbha
197,"Prof Ram Meghe College of Engineering and Management, Badnera",prof-ram-meghe-college-of-engineering-and-management-badnera,Amravati,Badnera,Vidarbha
198,"Genba Sopanrao Moze College of Engineering, Baner-Balewadi, Pune",genba-sopanrao-moze-college-of-engineering-baner-balewadi-pune,Pune,Pune,Pune Region
199,"Jaihind College Of Engineering, Kuran",jaihind-college-of-engineering-kuran,Maharashtra,Other,Maharashtra
200,Karmayogi Institute of Technology,karmayogi-institute-of-technology,Solapur,Pandharpur,Pune Region
201,"Vighnaharata Trust's Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane",vighnaharata-trusts-shivajirao-s-jondhale-college-of-engineering--technology-shahapur-asangaon-dist-thane,Thane,Shahapur,Mumbai Region
202,"Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering, Nagpur",sanmarg-shikshan-sansthas-smt-radhikatai-pandav-college-of-engineering-nagpur,Nagpur,Nagpur,Vidarbha
203,"V M Institute of Engineering and Technology, Dongargaon, Nagpur",v-m-institute-of-engineering-and-technology-dongargaon-nagpur,Nagpur,Nagpur,Vidarbha
204,"Rajgad Dnyanpeeth's Technical Campus, Dhangwadi, Bhor",rajgad-dnyanpeeths-technical-campus-dhangwadi-bhor,Pune,Bhor,Pune Region
205,"Shree Ramchandra College of Engineering, Lonikand, Pune",shree-ramchandra-college-of-engineering-lonikand-pune,Pune,Pune,Pune Region
206,"Mauli Group of Institutions, College of Engineering and Technology, Shegaon.",mauli-group-of-institutions-college-of-engineering-and-technology-shegaon,Buldhana,Shegaon,Vidarbha
207,"MET's Institute of Technology Polytechnic, Bhujbal Knowledge City, Adgaon Nashik",mets-institute-of-technology-polytechnic-bhujbal-knowledge-city-adgaon-nashik,Nashik,Nashik,Nashik / North Maharashtra
208,"Shri Shivaji Vidya Prasarak Sanstha's Late Bapusaheb Shivaji Rao Deore College of Engineering, Dhule",shri-shivaji-vidya-prasarak-sansthas-late-bapusaheb-shivaji-rao-deore-college-of-engineering-dhule,Dhule,Dhule,Nashik / North Maharashtra
209,"P.K. Technical Campus, Pune.",p-k-technical-campus-pune,Pune,Pune,Pune Region
210,"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",ahmednagar-jilha-maratha-vidya-prasarak-samajache-shri-chhatrapati-shivaji-maharaj-college-of-engineering-nepti,Ahmednagar,Ahmednagar,Nashik / North Maharashtra
211,"Nanasaheb Mahadik College of Engineering, Walwa, Sangli.",nanasaheb-mahadik-college-of-engineering-walwa-sangli,Sangli,Sangli,Pune Region
212,"Sanghavi College of Engineering, Varvandi, Nashik.",sanghavi-college-of-engineering-varvandi-nashik,Nashik,Nashik,Nashik / North Maharashtra
213,"Gharda Foundation's Gharda Institute of Technology, Khed, Ratnagiri",gharda-foundations-gharda-institute-of-technology-khed-ratnagiri,Ratnagiri,Khed,Mumbai Region
214,"Pravara Rural Education Society's Sir Visvesvaraya Institute of Technology, Chincholi Dist. Nashik",pravara-rural-education-societys-sir-visvesvaraya-institute-of-technology-chincholi-dist-nashik,Nashik,Nashik,Nashik / North Maharashtra
215,Rajiv Gandhi College of Engineering Research & Technology Chandrapur,rajiv-gandhi-college-of-engineering-research--technology-chandrapur,Chandrapur,Chandrapur,Vidarbha
216,"Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology, Amravati",shri-hanuman-vyayam-prasarak-mandals-college-of-engineering--technology-amravati,Amravati,Amravati,Vidarbha
217,"University Department of Chemical Technology, Aurangabad",university-department-of-chemical-technology-aurangabad,Chhatrapati Sambhajinagar (Aurangabad),Aurangabad,Chhatrapati Sambhajinagar (Marathwada)
218,"Keystone School of Engineering, Pune",keystone-school-of-engineering-pune,Pune,Pune,Pune Region
219,"Peoples Education Society's College of Engineering, Aurangabad",peoples-education-societys-college-of-engineering-aurangabad,Chhatrapati Sambhajinagar (Aurangabad),Aurangabad,Chhatrapati Sambhajinagar (Marathwada)
220,"Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Institutions (Integrated Campus)-Parikrama, Kashti Shrigondha,",hon-shri-babanrao-pachpute-vichardhara-trust-group-of-institutions-integrated-campus-parikrama-kashti-shrigondha,Maharashtra,Other,Maharashtra
221,"Shahajirao Patil Vikas Pratishthan, S.B.Patil College of Engineering, Vangali, Tal. Indapur",shahajirao-patil-vikas-pratishthan-s-b-patil-college-of-engineering-vangali-tal-indapur,Pune,Indapur,Pune Region
222,"Samarth Group of Institutions, Bangarwadi, Post Belhe Tal. Junnar Dist. Pune",samarth-group-of-institutions-bangarwadi-post-belhe-tal-junnar-dist-pune,Pune,Pune,Pune Region
223,"S.S.P.M.'s College of Engineering, Kankavli",s-s-p-m-s-college-of-engineering-kankavli,Sindhudurg,Kankavli,Mumbai Region
224,"Siddhant College of Engineering, A/p Sudumbare, Tal.Maval, Dist-Pune",siddhant-college-of-engineering-a-p-sudumbare-tal-maval-dist-pune,Pune,Pune,Pune Region
225,"G H Raisoni Institute of Engineering and Business Management, Jalgaon",g-h-raisoni-institute-of-engineering-and-business-management-jalgaon,Jalgaon,Jalgaon,Nashik / North Maharashtra
226,"Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon.",maulana-mukhtar-ahmad-nadvi-technical-campus-malegaon,Washim,Malegaon,Vidarbha
227,"Vidya Vikas Pratishthan Institute of Engineering and Technology, Solapur",vidya-vikas-pratishthan-institute-of-engineering-and-technology-solapur,Solapur,Solapur,Pune Region
228,"Shri. Balasaheb Mane Shikshan Prasarak Mandal's, Ashokrao Mane Group of Institutions",shri-balasaheb-mane-shikshan-prasarak-mandals-ashokrao-mane-group-of-institutions,Maharashtra,Other,Maharashtra
229,"K.D.K. College of Engineering, Nagpur",k-d-k-college-of-engineering-nagpur,Nagpur,Nagpur,Vidarbha
230,"P.S.G.V.P. Mandal's D.N. Patel College of Engineering, Shahada, Dist. Nandurbar",p-s-g-v-p-mandals-d-n-patel-college-of-engineering-shahada-dist-nandurbar,Nandurbar,Shahada,Nashik / North Maharashtra
231,"Sahakar Maharshee Shankarrao Mohite Patil Institute of Technology & Research, Akluj",sahakar-maharshee-shankarrao-mohite-patil-institute-of-technology--research-akluj,Solapur,Akluj,Pune Region
232,"Shanti Education Society, A.G. Patil Institute of Technology, Soregaon, Solapur (North)",shanti-education-society-a-g-patil-institute-of-technology-soregaon-solapur-north,Solapur,Solapur,Pune Region
233,"Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai",mahatma-basaweshwar-education-societys-college-of-engineering-ambejogai,Beed,Ambejogai,Chhatrapati Sambhajinagar (Marathwada)
234,"Sanmarg Shikshan Sanstha, Mandukarrao Pandav College of Engineering, Bhandara",sanmarg-shikshan-sanstha-mandukarrao-pandav-college-of-engineering-bhandara,Bhandara,Bhandara,Vidarbha
235,"Matoshri College of Engineering and Research Centre, Eklahare, Nashik",matoshri-college-of-engineering-and-research-centre-eklahare-nashik,Nashik,Nashik,Nashik / North Maharashtra
236,"Chhartrapati Shivaji Maharaj Institute of Technology, Shedung, Panvel",chhartrapati-shivaji-maharaj-institute-of-technology-shedung-panvel,Raigad,Panvel,Mumbai Region
237,"Shri. Jaykumar Rawal Institute of Technology, Dondaicha.",shri-jaykumar-rawal-institute-of-technology-dondaicha,Dhule,Dondaicha,Nashik / North Maharashtra
238,Navsahyadri Education Society's Group of Institutions,navsahyadri-education-societys-group-of-institutions,Pune,Naigaon,Pune Region
239,"Bharat College of Engineering, Kanhor, Badlapur (W)",bharat-college-of-engineering-kanhor-badlapur-w,Thane,Badlapur,Mumbai Region
240,"Priyadarshini Bhagwati College of Engineering, Harpur Nagar, Umred Road, Nagpur",priyadarshini-bhagwati-college-of-engineering-harpur-nagar-umred-road-nagpur,Nagpur,Nagpur,Vidarbha
241,"Vidarbha Bahu-Uddeshiya Shikshan Sanstha's Tulshiramji Gaikwad Patil College of Engineering & Technology, Nagpur",vidarbha-bahu-uddeshiya-shikshan-sansthas-tulshiramji-gaikwad-patil-college-of-engineering--technology-nagpur,Nagpur,Nagpur,Vidarbha
